(Intercept)	Annual_precipitation_mean	Annual_temperature_mean	Area_land	EA033	Isolation	Latitude_abs_mean	Precipitation_seasonality_mean	ratio_coastline_to_area	Settlement_order_oldest	Shoreline	Temperature_seasonality_mean	Annual_precipitation_mean:Precipitation_seasonality_mean	Annual_temperature_mean:Temperature_seasonality_mean	Area_land:Settlement_order_oldest	ratio_coastline_to_area:Settlement_order_oldest	Settlement_order_oldest:Shoreline	df	logLik	AICc	delta	weight
0.8034461442213641	-1.030668658510971e-5	0.04836731762917884	NA	-0.9106188187927965	3.9928661275466835e-4	NA	-0.04758065896201429	-0.0668939978092157	0.0196087396828193	-4.146069426383219e-4	0.001320401219991401	1.9162171063594415e-5	NA	NA	NA	1.2730554724795103e-4	13	0	34.27272727272727	8198.533596837944	0
2.2311103925225337	-1.3908502641231157e-4	NA	2.9806551266980095e-5	-0.7463067183305832	2.9455779255747097e-4	NA	-0.0491438686636277	-0.06407842752122336	0.015350455251989558	-0.0010309079376234142	-0.001018772642040494	2.2030838831286737e-5	NA	NA	NA	1.761543520402859e-4	13	0	34.27272727272727	8198.533596837944	0
30.094568183044696	6.207401738482044e-4	-1.0997457307283445	4.350150988429813e-5	-0.7193956289546037	NA	-0.009880641121254155	-0.002330477130651761	NA	0.08180102796166022	-0.001114135031464559	-0.1093201552652836	NA	0.0037177256188856327	NA	NA	1.8255222506732404e-4	13	0	34.27272727272727	8198.533596837944	0
17.692393466199768	NA	-0.5728943698032215	4.132688268704622e-5	-0.75990410433838	1.1288772406568507e-4	0.042800707320106934	-0.018045408134217133	NA	0.06854132895776856	-0.001154853401976189	-0.07198915180674603	NA	0.0021884046440349657	NA	NA	1.9610189588475368e-4	13	0	34.27272727272727	8198.533596837944	0
46.044005629875805	4.3599324796837405e-4	-1.6910046121525615	1.289426422657623e-4	NA	-4.2695459883454744e-4	-0.026675354832551873	NA	-0.02860417391881356	0.10730129806825317	-0.0029133714904892817	-0.15868408935117503	NA	0.005174882220308749	NA	NA	3.2925150245456344e-4	13	0	34.27272727272727	8198.533596837944	0
25.804976092135043	NA	-0.8599264487645815	5.99179552268508e-5	-0.665448134811419	-3.76980269615482e-4	0.05233741833926747	NA	-0.06426512911138095	0.018660449490448504	-0.0015701333162320304	-0.0944337741638726	NA	0.0027403992886052076	NA	NA	2.3226458483435465e-4	13	0	34.27272727272727	8198.533596837944	0
47.21069022341363	5.475829734141377e-4	-1.7555051401491093	1.307863064242574e-4	NA	-5.958105819679414e-4	NA	0.011143957374788143	-0.02740513616506571	0.09295209945165371	-0.002953683495083506	-0.16595816687143553	NA	0.005332702528583501	NA	NA	3.335148008707311e-4	13	0	34.27272727272727	8198.533596837944	0
17.32753508597267	NA	-0.5262598501826312	3.893713307594318e-5	-0.8284410453788851	NA	0.03644491101123947	-0.019729833855379623	-0.07981697998815829	0.014468056964184321	-0.0011371904349622586	-0.06614013266152045	NA	0.001973326440992888	NA	NA	1.965569699117561e-4	13	0	34.27272727272727	8198.533596837944	0
7.251478141993353	NA	-0.14863774161831203	NA	-1.0130624944931848	1.5446616177062106e-4	0.036804556885321874	-0.025882496093683337	-0.08584050564876751	0.02190922027395854	-4.26751531898534e-4	-0.02756023745626579	NA	7.13775692471721e-4	NA	NA	1.4056024347768105e-4	13	0	34.27272727272727	8198.533596837944	0
1.2480270194613354	4.5430157264958e-4	-0.01749654778881497	7.296008235280405e-5	-0.6817009749920702	2.498869261620144e-4	-0.006617987117525865	NA	-0.053492041098978524	-0.006698761015203846	-0.0013906312636035706	NA	NA	NA	-1.0703082266557084e-5	NA	2.4110556559443747e-4	13	0	34.27272727272727	8198.533596837944	0
3.150914598575265	4.3319654956143087e-4	-0.0752514284178703	6.377554624522678e-5	-0.7071223377418963	NA	-0.016695119721884085	-0.00333879994915033	-0.06146538002392723	0.007167304629533215	-0.0012902428690070786	NA	NA	NA	-9.424588941389795e-6	NA	2.287684463496291e-4	13	0	34.27272727272727	8198.533596837944	0
-0.033818049286087025	4.8422993631373914e-4	0.005177514290543349	7.747085082017414e-5	-0.6400251255618908	3.8466611296512e-4	-0.012067496767292941	NA	NA	0.025058532889029244	-0.0013965721085467575	0.0023516375848235548	NA	NA	-1.200330726870298e-5	NA	2.4313497353414592e-4	13	0	34.27272727272727	8198.533596837944	0
