Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD17A3HGF_061_Line_Y_500m,MOD17A3HGF_061_Sample_X_500m,MOD17A3HGF_061_Npp_500m,MOD17A3HGF_061_Npp_QC_500m,MOD17A3HGF_061_Npp_QC_500m_bitmask,MOD17A3HGF_061_Npp_QC_500m_ContinuousLayer,MOD17A3HGF_061_Npp_QC_500m_ContinuousLayer_Description
4434,4434,-0.3447507839,132.168600005,2002-01-01,h31v09,82.0,519.0,0.57,81.0,0b01010001,0b0,Continuous
4434,4434,-0.3447507839,132.168600005,2003-01-01,h31v09,82.0,519.0,0.3742,83.0,0b01010011,0b0,Continuous
4434,4434,-0.3447507839,132.168600005,2004-01-01,h31v09,82.0,519.0,0.4436,85.0,0b01010101,0b0,Continuous
4436,4436,-0.3438584555,130.582632292,2001-01-01,h31v09,82.0,139.0,32766.0,254.0,0b11111110,0b0,Continuous
4436,4436,-0.3438584555,130.582632292,2002-01-01,h31v09,82.0,139.0,32766.0,254.0,0b11111110,0b0,Continuous
4436,4436,-0.3438584555,130.582632292,2003-01-01,h31v09,82.0,139.0,32766.0,254.0,0b11111110,0b0,Continuous
4436,4436,-0.3438584555,130.582632292,2004-01-01,h31v09,82.0,139.0,32766.0,254.0,0b11111110,0b0,Continuous
4441,4441,-0.3391944466,131.066213757,2001-01-01,h31v09,81.0,255.0,32766.0,254.0,0b11111110,0b0,Continuous
4441,4441,-0.3391944466,131.066213757,2002-01-01,h31v09,81.0,255.0,32766.0,254.0,0b11111110,0b0,Continuous
4441,4441,-0.3391944466,131.066213757,2003-01-01,h31v09,81.0,255.0,32766.0,254.0,0b11111110,0b0,Continuous
4441,4441,-0.3391944466,131.066213757,2004-01-01,h31v09,81.0,255.0,32766.0,254.0,0b11111110,0b0,Continuous
4444,4444,-4.011290963,137.465152098,2001-01-01,h31v09,962.0,1710.0,0.5379,52.0,0b00110100,0b0,Continuous
4444,4444,-4.011290963,137.465152098,2002-01-01,h31v09,962.0,1710.0,0.6038,40.0,0b00101000,0b0,Continuous
4444,4444,-4.011290963,137.465152098,2003-01-01,h31v09,962.0,1710.0,0.5985,37.0,0b00100101,0b0,Continuous
4444,4444,-4.011290963,137.465152098,2004-01-01,h31v09,962.0,1710.0,0.6297,39.0,0b00100111,0b0,Continuous
4449,4449,-0.3376567643,130.583479265,2001-01-01,h31v09,81.0,139.0,32766.0,254.0,0b11111110,0b0,Continuous
4449,4449,-0.3376567643,130.583479265,2002-01-01,h31v09,81.0,139.0,32766.0,254.0,0b11111110,0b0,Continuous
4449,4449,-0.3376567643,130.583479265,2003-01-01,h31v09,81.0,139.0,32766.0,254.0,0b11111110,0b0,Continuous
4449,4449,-0.3376567643,130.583479265,2004-01-01,h31v09,81.0,139.0,32766.0,254.0,0b11111110,0b0,Continuous
4454,4454,-0.3320927072,130.397515229,2001-01-01,h31v09,79.0,94.0,32766.0,254.0,0b11111110,0b0,Continuous
4454,4454,-0.3320927072,130.397515229,2002-01-01,h31v09,79.0,94.0,32766.0,254.0,0b11111110,0b0,Continuous
4454,4454,-0.3320927072,130.397515229,2003-01-01,h31v09,79.0,94.0,32766.0,254.0,0b11111110,0b0,Continuous
4454,4454,-0.3320927072,130.397515229,2004-01-01,h31v09,79.0,94.0,32766.0,254.0,0b11111110,0b0,Continuous
4458,4458,-0.3304382828,130.575832791,2001-01-01,h31v09,79.0,137.0,0.7981,47.0,0b00101111,0b0,Continuous
4458,4458,-0.3304382828,130.575832791,2002-01-01,h31v09,79.0,137.0,1.1681,40.0,0b00101000,0b0,Continuous
4458,4458,-0.3304382828,130.575832791,2003-01-01,h31v09,79.0,137.0,0.8987,41.0,0b00101001,0b0,Continuous
4458,4458,-0.3304382828,130.575832791,2004-01-01,h31v09,79.0,137.0,0.8971,44.0,0b00101100,0b0,Continuous
4462,4462,-0.3283489325,130.6845651,2001-01-01,h31v09,78.0,163.0,32766.0,254.0,0b11111110,0b0,Continuous
4462,4462,-0.3283489325,130.6845651,2002-01-01,h31v09,78.0,163.0,32766.0,254.0,0b11111110,0b0,Continuous
4462,4462,-0.3283489325,130.6845651,2003-01-01,h31v09,78.0,163.0,32766.0,254.0,0b11111110,0b0,Continuous
