Category,ID,Latitude,Longitude,Date,MODIS_Tile,MYD17A3HGF_061_Line_Y_500m,MYD17A3HGF_061_Sample_X_500m,MYD17A3HGF_061_Npp_500m,MYD17A3HGF_061_Npp_QC_500m,MYD17A3HGF_061_Npp_QC_500m_bitmask,MYD17A3HGF_061_Npp_QC_500m_ContinuousLayer,MYD17A3HGF_061_Npp_QC_500m_ContinuousLayer_Description
15798,15798,-8.2525432477,157.069607061,2003-01-01,h33v09,1980.0,1306.0,0.1754,28.0,0b00011100,0b0,Continuous
15798,15798,-8.2525432477,157.069607061,2004-01-01,h33v09,1980.0,1306.0,0.0835,33.0,0b00100001,0b0,Continuous
15799,15799,-8.2498696816,157.121892027,2002-07-04,h33v09,1979.0,1319.0,0.2913,74.0,0b01001010,0b0,Continuous
15799,15799,-8.2498696816,157.121892027,2003-01-01,h33v09,1979.0,1319.0,0.3962,41.0,0b00101001,0b0,Continuous
15799,15799,-8.2498696816,157.121892027,2004-01-01,h33v09,1979.0,1319.0,0.2322,41.0,0b00101001,0b0,Continuous
15800,15800,-8.2479462271,157.777491691,2002-07-04,h33v09,1979.0,1474.0,0.3545,76.0,0b01001100,0b0,Continuous
15800,15800,-8.2479462271,157.777491691,2003-01-01,h33v09,1979.0,1474.0,0.4877,39.0,0b00100111,0b0,Continuous
15800,15800,-8.2479462271,157.777491691,2004-01-01,h33v09,1979.0,1474.0,0.366,60.0,0b00111100,0b0,Continuous
15801,15801,-8.2481614172,157.773335491,2002-07-04,h33v09,1979.0,1473.0,0.0,81.0,0b01010001,0b0,Continuous
15801,15801,-8.2481614172,157.773335491,2003-01-01,h33v09,1979.0,1473.0,0.1999,44.0,0b00101100,0b0,Continuous
15801,15801,-8.2481614172,157.773335491,2004-01-01,h33v09,1979.0,1473.0,0.031,62.0,0b00111110,0b0,Continuous
15802,15802,-8.2458665128,157.780856425,2002-07-04,h33v09,1979.0,1475.0,32766.0,254.0,0b11111110,0b0,Continuous
15802,15802,-8.2458665128,157.780856425,2003-01-01,h33v09,1979.0,1475.0,32766.0,254.0,0b11111110,0b0,Continuous
15802,15802,-8.2458665128,157.780856425,2004-01-01,h33v09,1979.0,1475.0,32766.0,254.0,0b11111110,0b0,Continuous
15803,15803,-8.2507150874,160.18967687,2002-07-04,h33v09,1980.0,2047.0,32766.0,254.0,0b11111110,0b0,Continuous
15803,15803,-8.2507150874,160.18967687,2003-01-01,h33v09,1980.0,2047.0,32766.0,254.0,0b11111110,0b0,Continuous
15803,15803,-8.2507150874,160.18967687,2004-01-01,h33v09,1980.0,2047.0,32766.0,254.0,0b11111110,0b0,Continuous
15804,15804,-8.2774903924,156.534424612,2002-07-04,h33v09,1986.0,1176.0,0.8868,85.0,0b01010101,0b0,Continuous
15804,15804,-8.2774903924,156.534424612,2003-01-01,h33v09,1986.0,1176.0,0.8857,44.0,0b00101100,0b0,Continuous
