society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ae42,Ngumba,xd163,kwas1243,Kwasio,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.644225543,,,,
Ab10,Pondo,xd11,mpon1252,Mpondo,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.650696846,,,,
SCCS133,Twana,xd1079,twan1247,Twana,Salishan,MonthlyMeanNetPrimaryProduction,2.653402915,,,,
SCCS68,Lepcha,xd655,lepc1244,Lepcha,Sino-Tibetan,MonthlyMeanNetPrimaryProduction,2.664315711,,,,
Ai23,Bwaka,xd352,ngba1284,Ngbaka Ma'bo,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.666728018,,,,
SCCS102,Mbau Fijians,xd867,bauu1243,Bau (Fijian),Austronesian,MonthlyMeanNetPrimaryProduction,2.667243083,,,,
Ae28,Ngala,xd147,ling1263,Lingala,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.667417839,,,,
Ie23,Muju,xd800,sout2940,South Muyu,Nuclear Trans New Guinea,MonthlyMeanNetPrimaryProduction,2.690544713,,,,
Ed5,Japanese,xd648,nucl1643,Japanese,Japonic,MonthlyMeanNetPrimaryProduction,2.692125741,,,,
Ca13,Macha,xd419,west2721,West Central Oromo,Afro-Asiatic,MonthlyMeanNetPrimaryProduction,2.695040761,,,,
Af16,Banyang,xd193,keny1279,Kenyang,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.697381423,,,,
Af17,Boki,xd194,boky1238,Bokyi,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.697381423,,,,
B132,Mirniny,xd976,ngad1258,Ngadjunmaya,Pama-Nyungan,MonthlyMeanNetPrimaryProduction,2.707787796,,,,
Af55,Gola,xd236,gola1255,Gola,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.719120553,,,,
B278,Quinault,xd1085,quin1251,Quinault,Salishan,MonthlyMeanNetPrimaryProduction,2.719484931,,,,
Af46,Bakwe,xd226,bakw1243,Bakwé,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.720175601,,,,
B11,Hill Pandaram,xd905,mala1468,Malapandaram,Dravidian,MonthlyMeanNetPrimaryProduction,2.722091156,,,,
B284,Quileute,xd1077,quil1240,Quileute,Chimakuan,MonthlyMeanNetPrimaryProduction,2.722498765,,,,
WNAI26,Quileute,xd1077,quil1240,Quileute,Chimakuan,MonthlyMeanNetPrimaryProduction,2.722498765,,,,
Ad8,Hehe,xd125,hehe1240,Hehe,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.722770504,,,,
Ae58,Tikar,xd180,tige1238,Tige,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.726550736,,,,
Ah8,Bafute,xd335,vute1244,Vute,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.726550736,,,,
Ae24,Mongo,xd143,long1393,Longo (Democratic Republic of Congo),Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.730415153,,,,
SCCS14,Nkundo,xd160,nkun1238,Nkundo,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.732229481,,,,
B19,Kadar,xd912,kada1242,Kadar,Dravidian,MonthlyMeanNetPrimaryProduction,2.734022974,,,,
Eg6,Kerala,xd682,mala1464,Malayalam,Dravidian,MonthlyMeanNetPrimaryProduction,2.737117095,,,,
Ab12,Zulu,xd13,zulu1248,Zulu,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.739165342,,,,
Ie37,Star Mountain,xd815,ngal1298,Ngalum,Nuclear Trans New Guinea,MonthlyMeanNetPrimaryProduction,2.749333004,,,,
If4,Ifaluk,xd835,nucl1479,Nuclear Woleaian,Austronesian,MonthlyMeanNetPrimaryProduction,2.754014328,,,,"Note, estimate is from a point 101 km away (coordinates: 7.36,143.55); data were not available at society's reported location"
Ac38,Nyanja,xd64,nucl1395,Nuclear Nyanja,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.762907609,,,,
SCCS61,Toda,xd680,toda1252,Toda,Dravidian,MonthlyMeanNetPrimaryProduction,2.766619318,,,,
Nb18,Quileute,xd1077,quil1240,Quileute,Chimakuan,MonthlyMeanNetPrimaryProduction,2.76953125,,,,
Ic8,Kei,xd770,keii1239,Kei,Austronesian,MonthlyMeanNetPrimaryProduction,2.77768857,,,,
SCCS15,Banen,xd173,tune1261,Tunen,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.78149086,,,,
Ei8,Khasi,xd714,khas1269,Khasi,Austroasiatic,MonthlyMeanNetPrimaryProduction,2.782334383,,,,
B134,Bunurong,xd978,woiw1237,Woiwurrung,Pama-Nyungan,MonthlyMeanNetPrimaryProduction,2.794596097,,,,
Ia2,Sagada,xd742,nort2877,Northern Kankanay,Austronesian,MonthlyMeanNetPrimaryProduction,2.79933918,,,,
Ia3,Ifugao,xd743,tuwa1243,Tuwali Ifugao,Austronesian,MonthlyMeanNetPrimaryProduction,2.79933918,,,,
Ia8,Bontok,xd748,cent2292,Central Bontoc,Austronesian,MonthlyMeanNetPrimaryProduction,2.79933918,,,,
SCCS112,Ifugao,xd743,tuwa1243,Tuwali Ifugao,Austronesian,MonthlyMeanNetPrimaryProduction,2.79933918,,,,
Ai46,Koma,xd377,komo1258,Komo (Sudan),Koman,MonthlyMeanNetPrimaryProduction,2.799431818,,,,
Ai47,Mao,xd378,hozo1236,Hozo,Blue Nile Mao,MonthlyMeanNetPrimaryProduction,2.799431818,,,,
Ca27,Anfillo,xd434,anfi1235,Anfillo,Ta-Ne-Omotic,MonthlyMeanNetPrimaryProduction,2.799431818,,,,
B10,Vedda,xd690,vedd1240,Veddah,Indo-European,MonthlyMeanNetPrimaryProduction,2.800768617,,,,
Af47,Krahn,xd227,west2488,Western Krahn,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.803359684,,,,
Ei1,Garo,xd696,garo1247,Garo,Sino-Tibetan,MonthlyMeanNetPrimaryProduction,2.811133159,,,,
SCCS69,Garo,xd696,garo1247,Garo,Sino-Tibetan,MonthlyMeanNetPrimaryProduction,2.811133159,,,,
Ic2,Alorese,xd764,abui1241,Abui,Timor-Alor-Pantar,MonthlyMeanNetPrimaryProduction,2.819839015,,,,
Ig19,Molima,xd851,moli1248,Molima,Austronesian,MonthlyMeanNetPrimaryProduction,2.819897833,,,,
Ig5,Dobuans,xd857,dobu1241,Dobu,Austronesian,MonthlyMeanNetPrimaryProduction,2.819897833,,,,
Ia14,Tao,xd737,yami1254,Yami,Austronesian,MonthlyMeanNetPrimaryProduction,2.822412302,,,,
B272,Chehalis,xd997,lowe1427,Lower Chehalis,Salishan,MonthlyMeanNetPrimaryProduction,2.823906868,,,,
Ii8,Futunans,xd887,east2447,East Futuna,Austronesian,MonthlyMeanNetPrimaryProduction,2.843680521,,,,
Sj8,Tupinambá,xd1416,tupi1273,Tupinambá,Tupian,MonthlyMeanNetPrimaryProduction,2.84489254,,,,
Ae5,Bamileke,xd171,fefe1239,Fe'fe',Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.850524951,,,,
Ia11,Puyuma,xd734,puyu1239,Puyuma,Austronesian,MonthlyMeanNetPrimaryProduction,2.851315464,,,,
Ia9,Ami,xd749,amis1246,Amis,Austronesian,MonthlyMeanNetPrimaryProduction,2.851315464,,,,
Nb21,Coos,xd1081,coos1249,Hanis,Coosan,MonthlyMeanNetPrimaryProduction,2.852161561,,,,
Ih1,Mota,xd862,mota1237,Mota,Austronesian,MonthlyMeanNetPrimaryProduction,2.85492836,,,,
Ic9,Sumbanese,xd771,kamb1299,Kambera,Austronesian,MonthlyMeanNetPrimaryProduction,2.855713856,,,,
Af57,Temne,xd238,timn1235,Timne,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.856842885,,,,
Ai28,Popoi,xd357,popo1291,Popoi,Central Sudanic,MonthlyMeanNetPrimaryProduction,2.8602645,,,,
Ab11,Xhosa,xd12,xesi1238,Xesibe,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.863111413,,,,
